problem_id,title,topic,difficulty,problem_statement,input_format,output_format,constraints,sample_input,sample_output,expected_algorithm,concepts
1,Sum of Two Integers,Variables,Easy,Write a Python program that reads two integers separated by a space and prints their sum.,Two integers separated by a space.,Print a single integer representing their sum.,"-10^9 ? a, b ? 10^9",5 10,15,Addition,"Variables, Input, Output"
2,Area of a Circle,Operators,Easy,Write a Python program that reads the radius of a circle and prints its area using ? = 3.14159. Display the answer rounded to two decimal places.,One positive real number representing the radius.,Print the area rounded to two decimal places.,0 ? radius ? 10^4,5,78.54,Formula (?r²),"Operators, Arithmetic"
3,Largest of Two Numbers,Selection,Easy,"Write a Python program that reads two integers and prints the larger number. If both are equal, print either value.",Two integers separated by a space.,Print the larger integer.,"-10^9 ? a, b ? 10^9",12 7,12,Conditional Selection,"If Statement, Comparison"
4,Print Numbers from 1 to N,Loops,Easy,Write a Python program that reads an integer N and prints all integers from 1 to N separated by spaces.,One positive integer N.,Numbers from 1 to N separated by spaces.,1 ? N ? 1000,5,1 2 3 4 5,Iteration,Loops
5,Factorial of a Number,Loops,Easy,Write a Python program that reads a non-negative integer and prints its factorial.,One non-negative integer.,Print the factorial value.,0 ? N ? 20,5,120,Iterative Multiplication,Loops
6,Prime Number Check,Functions,Medium,"Write a Python program that defines a function to determine whether a given integer is prime. Print ""Prime"" if the number is prime; otherwise print ""Not Prime"".",One positive integer.,"Print ""Prime"" or ""Not Prime"".",1 ? N ? 10^6,13,Prime,Trial Division,Functions
7,Largest Element in a List,Lists,Medium,Write a Python program that reads a list of integers and prints the largest element.,First line: integer N. Second line: N integers separated by spaces.,Print the largest element.,1 ? N ? 1000,5?8 3 15 2 10,15,Linear Traversal,Lists
8,Count Vowels in a String,Strings,Medium,"Write a Python program that reads a string and prints the number of vowels (a, e, i, o, u). Count both uppercase and lowercase vowels.",One line containing a string.,Print the total number of vowels.,Length ? 1000 characters,Artificial Intelligence,10,Character Traversal,Strings
9,Word Frequency Counter,Dictionaries,Medium,Write a Python program that reads a sentence and prints the frequency of each word while preserving the order of first appearance.,One line containing a sentence.,"Print each word followed by its frequency, one per line.",Up to 100 words,apple banana apple,apple 2?banana 1,Dictionary Counting,Dictionaries
10,Fibonacci Using Recursion,Recursion,Medium,Write a Python program that computes the nth Fibonacci number using recursion. Assume F(0)=0 and F(1)=1.,One non-negative integer n.,Print the nth Fibonacci number.,0 ? n ? 30,7,13,Recursive Algorithm,Recursion
